dataset,split,model,config,auroc_mean,auroc_std,auprc_mean,auprc_std,auroc_s42,auroc_s52,auroc_s62,auroc_s72,auroc_s82,auprc_s42,auprc_s52,auprc_s62,auprc_s72,auprc_s82,pred_file,true_file,source
bindingdb,random,MolTrans,full,0.9338,0.0017,0.9086,0.0054,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
bindingdb,random,INGNN,full,0.9228,0.0028,0.8951,0.0024,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
bindingdb,random,TransformerCPI,full,0.8921,0.0012,0.8556,0.0016,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
bindingdb,random,GNN-CPI,full,0.6548,0.1712,0.5782,0.2045,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,MGNDTI,full,0.8589,0.0057,0.8675,0.0038,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,RF,full,0.8493,0.0006,0.8724,0.0005,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,TransformerCPI,full,0.8460,0.0113,0.8551,0.0061,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,INGNN,full,0.8417,0.0057,0.8510,0.0023,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,MolTrans,full,0.8407,0.0082,0.8473,0.0057,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,GNN-CPI,full,0.6797,0.0897,0.6795,0.0933,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,RF,full,0.6979,0.0110,0.6867,0.0068,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,MGNDTI,full,0.6910,0.0105,0.6836,0.0168,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,MolTrans,full,0.6820,0.0166,0.6788,0.0193,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,INGNN,full,0.6526,0.0090,0.6421,0.0075,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,GNN-CPI,full,0.6501,0.0030,0.6526,0.0017,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,TransformerCPI,full,0.6160,0.0319,0.6032,0.0216,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
